,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
1857090884,687,3.3105711859555056,0.0755885728100795,9280.0,36.65142125498707,0.07552023069588194,563.0,2.326670774911597,0.07519634847306648
2104198610,6333,20.011048885917837,0.07560273087386173,687.0,3.3105711859555056,0.0755885728100795,9280.0,36.65142125498707,0.07552023069588194
3541952633,1138,3.7996540493757514,0.07561823378465506,6333.0,20.011048885917837,0.07560273087386173,687.0,3.3105711859555056,0.0755885728100795
3121103218,2101,8.298505678247208,0.07560683483458848,1138.0,3.7996540493757514,0.07561823378465506,6333.0,20.011048885917837,0.07560273087386173
2276363056,3271,11.764981208814863,0.07528584766132862,2101.0,8.298505678247208,0.07560683483458848,1138.0,3.7996540493757514,0.07561823378465506
2529270893,8009,35.04972842044031,0.07532871585878138,3271.0,11.764981208814863,0.07528584766132862,2101.0,8.298505678247208,0.07560683483458848
3319626906,476,3.291880373423129,0.07527181059100888,8009.0,35.04972842044031,0.07532871585878138,3271.0,11.764981208814863,0.07528584766132862
3048704021,10842,39.359778992867994,0.0751757392000791,476.0,3.291880373423129,0.07527181059100888,8009.0,35.04972842044031,0.07532871585878138
3529955955,11244,48.37911568106571,0.07494134827154124,10842.0,39.359778992867994,0.0751757392000791,476.0,3.291880373423129,0.07527181059100888
2012888567,2781,10.273399338411044,0.0748668459786825,11244.0,48.37911568106571,0.07494134827154124,10842.0,39.359778992867994,0.0751757392000791
2339027466,7332,26.962131692893056,0.07506579760892874,2781.0,10.273399338411044,0.0748668459786825,11244.0,48.37911568106571,0.07494134827154124
1222222108,210,0.47695627479989827,0.07518780637037037,7332.0,26.962131692893056,0.07506579760892874,2781.0,10.273399338411044,0.0748668459786825
1899370589,3692,9.598184287694135,0.07545755078005623,210.0,0.47695627479989827,0.07518780637037037,7332.0,26.962131692893056,0.07506579760892874
1977550890,2585,9.024440677613805,0.07581554374548644,3692.0,9.598184287694135,0.07545755078005623,210.0,0.47695627479989827,0.07518780637037037
1729866430,1325,4.898823598915442,0.07578589796981287,2585.0,9.024440677613805,0.07581554374548644,3692.0,9.598184287694135,0.07545755078005623
1431948436,41,0.17962183371520982,0.07570374200336699,1325.0,4.898823598915442,0.07578589796981287,2585.0,9.024440677613805,0.07581554374548644
1646311571,404,1.2129178154177782,0.07569528211196301,41.0,0.17962183371520982,0.07570374200336699,1325.0,4.898823598915442,0.07578589796981287
586416475,993,2.4030345678614333,0.07543426934695788,404.0,1.2129178154177782,0.07569528211196301,41.0,0.17962183371520982,0.07570374200336699
3757439264,1610,6.460345404036069,0.07539493891236178,993.0,2.4030345678614333,0.07543426934695788,404.0,1.2129178154177782,0.07569528211196301
2514307377,795,2.920373927489804,0.07532088556896048,1610.0,6.460345404036069,0.07539493891236178,993.0,2.4030345678614333,0.07543426934695788
599980776,8557,30.502862479112938,0.07531324254407205,795.0,2.920373927489804,0.07532088556896048,1610.0,6.460345404036069,0.07539493891236178
1014392199,1969,6.855179291837123,0.07598598932527478,8557.0,30.502862479112938,0.07531324254407205,795.0,2.920373927489804,0.07532088556896048
1498566568,7479,32.307479748167715,0.07597425802022009,1969.0,6.855179291837123,0.07598598932527478,8557.0,30.502862479112938,0.07531324254407205
2784342305,263,1.043518471550629,0.07599428551153982,7479.0,32.307479748167715,0.07597425802022009,1969.0,6.855179291837123,0.07598598932527478
1767952357,2722,13.010532291061272,0.0760376403359281,263.0,1.043518471550629,0.07599428551153982,7479.0,32.307479748167715,0.07597425802022009
2902327650,716,3.7209665725654855,0.07606876145772505,2722.0,13.010532291061272,0.0760376403359281,263.0,1.043518471550629,0.07599428551153982
406319523,777,4.040701806616616,0.07605839779126142,716.0,3.7209665725654855,0.07606876145772505,2722.0,13.010532291061272,0.0760376403359281
656184299,4780,16.628428822206413,0.07575497313873716,777.0,4.040701806616616,0.07605839779126142,716.0,3.7209665725654855,0.07606876145772505
219419186,10941,31.37106597579115,0.07563099870008495,4780.0,16.628428822206413,0.07575497313873716,777.0,4.040701806616616,0.07605839779126142
1757602191,3926,8.404266385280353,0.07604913777473483,10941.0,31.37106597579115,0.07563099870008495,4780.0,16.628428822206413,0.07575497313873716
4148668807,9934,32.105048128715396,0.07449973294177428,3926.0,8.404266385280353,0.07604913777473483,10941.0,31.37106597579115,0.07563099870008495
2101436778,1903,7.931462650103968,0.07456550682274427,9934.0,32.105048128715396,0.07449973294177428,3926.0,8.404266385280353,0.07604913777473483
528616000,144,0.7894521054606489,0.0746025731336979,1903.0,7.931462650103968,0.07456550682274427,9934.0,32.105048128715396,0.07449973294177428
1382796039,3224,11.25764162687205,0.07473270292094324,144.0,0.7894521054606489,0.0746025731336979,1903.0,7.931462650103968,0.07456550682274427
1124242508,1424,6.1428904328255305,0.07465938681586075,3224.0,11.25764162687205,0.07473270292094324,144.0,0.7894521054606489,0.0746025731336979
3617915692,35109,117.03654208323702,0.07403235090460981,1424.0,6.1428904328255305,0.07465938681586075,3224.0,11.25764162687205,0.07473270292094324
2209743633,5678,23.0297408993626,0.07392988961955098,35109.0,117.03654208323702,0.07403235090460981,1424.0,6.1428904328255305,0.07465938681586075
1652307981,15294,30.955736601165043,0.0745606705090524,5678.0,23.0297408993626,0.07392988961955098,35109.0,117.03654208323702,0.07403235090460981
1645694250,124,0.6315335917613891,0.07477056343283582,15294.0,30.955736601165043,0.0745606705090524,5678.0,23.0297408993626,0.07392988961955098
1171393888,1088,2.710490296117784,0.07484445235845111,124.0,0.6315335917613891,0.07477056343283582,15294.0,30.955736601165043,0.0745606705090524
2910044770,1481,6.017826126300163,0.07471480808274994,1088.0,2.710490296117784,0.07484445235845111,124.0,0.6315335917613891,0.07477056343283582
2634227385,186,0.4725069611933189,0.07468352754716981,1481.0,6.017826126300163,0.07471480808274994,1088.0,2.710490296117784,0.07484445235845111
3077567397,6524,22.37697256410813,0.07468618384470407,186.0,0.4725069611933189,0.07468352754716981,1481.0,6.017826126300163,0.07471480808274994
3915930510,1151,3.531130795090805,0.07484781365294264,6524.0,22.37697256410813,0.07468618384470407,186.0,0.4725069611933189,0.07468352754716981
1003064452,7373,30.38936230035974,0.07475804176845147,1151.0,3.531130795090805,0.07484781365294264,6524.0,22.37697256410813,0.07468618384470407
2397316641,989,4.029104591781575,0.07472140551479658,7373.0,30.38936230035974,0.07475804176845147,1151.0,3.531130795090805,0.07484781365294264
688160740,13263,50.301176278331816,0.07479819231437658,989.0,4.029104591781575,0.07472140551479658,7373.0,30.38936230035974,0.07475804176845147
1983196284,435,2.1275384799707164,0.07489186954097718,13263.0,50.301176278331816,0.07479819231437658,989.0,4.029104591781575,0.07472140551479658
3477354700,1482,4.881653320577871,0.07491579880248421,435.0,2.1275384799707164,0.07489186954097718,13263.0,50.301176278331816,0.07479819231437658
2759017307,3091,13.623579832374006,0.07501027790131799,1482.0,4.881653320577871,0.07491579880248421,435.0,2.1275384799707164,0.07489186954097718
3925327661,5693,25.355523449297895,0.07510782625864765,3091.0,13.623579832374006,0.07501027790131799,1482.0,4.881653320577871,0.07491579880248421
2242707619,2225,9.222037555608019,0.07505222731539793,5693.0,25.355523449297895,0.07510782625864765,3091.0,13.623579832374006,0.07501027790131799
1977402659,855,2.890390798966294,0.07498715861478,2225.0,9.222037555608019,0.07505222731539793,5693.0,25.355523449297895,0.07510782625864765
253840722,1662,4.573370727154713,0.0748849193461829,855.0,2.890390798966294,0.07498715861478,2225.0,9.222037555608019,0.07505222731539793
2068057685,3593,11.43003891916565,0.07477071227897551,1662.0,4.573370727154713,0.0748849193461829,855.0,2.890390798966294,0.07498715861478
3818658929,7,0.03088326758356,0.0747995,3593.0,11.43003891916565,0.07477071227897551,1662.0,4.573370727154713,0.0748849193461829
1260911399,7466,23.75733619709789,0.07443487906832987,7.0,0.03088326758356,0.0747995,3593.0,11.43003891916565,0.07477071227897551
2237173493,6346,22.882079279237985,0.07445782913001082,7466.0,23.75733619709789,0.07443487906832987,7.0,0.03088326758356,0.0747995
1496699132,17449,52.67311892208487,0.07444035944614756,6346.0,22.882079279237985,0.07445782913001082,7466.0,23.75733619709789,0.07443487906832987
1455723318,927,2.6461320899274754,0.07421080664096455,17449.0,52.67311892208487,0.07444035944614756,6346.0,22.882079279237985,0.07445782913001082
1206507773,223,0.6654798809191291,0.07420761213282248,927.0,2.6461320899274754,0.07421080664096455,17449.0,52.67311892208487,0.07444035944614756
1822091235,27,0.0401794350665299,0.07437248863636363,223.0,0.6654798809191291,0.07420761213282248,927.0,2.6461320899274754,0.07421080664096455
128818292,1728,6.308883309077381,0.0741469004960976,27.0,0.0401794350665299,0.07437248863636363,223.0,0.6654798809191291,0.07420761213282248
16921178,5634,16.20751206286496,0.07414954868822463,1728.0,6.308883309077381,0.0741469004960976,27.0,0.0401794350665299,0.07437248863636363
2905909694,2884,8.958159815497567,0.07412717874438905,5634.0,16.20751206286496,0.07414954868822463,1728.0,6.308883309077381,0.0741469004960976
922192727,4006,13.540687149939597,0.07413976544994284,2884.0,8.958159815497567,0.07412717874438905,5634.0,16.20751206286496,0.07414954868822463
1644964517,114,0.3816676751332596,0.07403508794642857,4006.0,13.540687149939597,0.07413976544994284,2884.0,8.958159815497567,0.07412717874438905
1881563624,1522,6.0390654626462945,0.07391178285775614,114.0,0.3816676751332596,0.07403508794642857,4006.0,13.540687149939597,0.07413976544994284
4149855498,48,0.1051126814442295,0.0738902532142857,1522.0,6.0390654626462945,0.07391178285775614,114.0,0.3816676751332596,0.07403508794642857
4029939987,5559,21.877483692068402,0.07388973123852505,48.0,0.1051126814442295,0.0738902532142857,1522.0,6.0390654626462945,0.07391178285775614
186221486,4174,40.55724796857779,0.0739702936748787,5559.0,21.877483692068402,0.07388973123852505,48.0,0.1051126814442295,0.0738902532142857
2421418882,10800,46.23670212744174,0.07416131009616363,4174.0,40.55724796857779,0.0739702936748787,5559.0,21.877483692068402,0.07388973123852505
1246268168,7121,28.101134893334127,0.07395219976461326,10800.0,46.23670212744174,0.07416131009616363,4174.0,40.55724796857779,0.0739702936748787
3635488960,788,2.2443454297286465,0.07367277403787295,7121.0,28.101134893334127,0.07395219976461326,10800.0,46.23670212744174,0.07416131009616363
1830770317,11056,36.84850599348903,0.07369973441195649,788.0,2.2443454297286465,0.07367277403787295,7121.0,28.101134893334127,0.07395219976461326
1474217723,675,2.312096767723615,0.0737925108604706,11056.0,36.84850599348903,0.07369973441195649,788.0,2.2443454297286465,0.07367277403787295
4252492233,4586,15.133270032881674,0.07378407701414885,675.0,2.312096767723615,0.0737925108604706,11056.0,36.84850599348903,0.07369973441195649
2232096649,6610,20.098808336967625,0.07391555687699909,4586.0,15.133270032881674,0.07378407701414885,675.0,2.312096767723615,0.0737925108604706
1545873001,6159,19.54220029446044,0.07405864712021396,6610.0,20.098808336967625,0.07391555687699909,4586.0,15.133270032881674,0.07378407701414885
651800088,1270,4.716081223699976,0.07399223618294244,6159.0,19.54220029446044,0.07405864712021396,6610.0,20.098808336967625,0.07391555687699909
